PERIOD,DATE,DELHI (P),MUMBAI(P),CHENNAI(P),KOLKATA(P)
1,16-Jun-17,65.48,76.7,68.02,68.03
2,17-Jun-17,65.23,76.46,67.76,67.84
3,18-Jun-17,64.91,76.14,67.42,67.58
4,19-Jun-17,64.65,75.88,67.14,67.37
5,20-Jun-17,64.55,75.78,67.04,67.3
6,21-Jun-17,64.55,75.79,67.04,67.3
7,22-Jun-17,64.44,75.68,66.93,67.21
8,23-Jun-17,64.23,75.46,66.7,67.04
9,24-Jun-17,63.99,75.23,66.45,66.86
10,25-Jun-17,63.71,74.95,66.15,66.64
11,26-Jun-17,63.55,74.79,65.98,66.51
12,27-Jun-17,63.46,74.71,65.89,66.44
13,28-Jun-17,63.46,74.71,65.9,66.45
14,29-Jun-17,63.47,74.71,65.9,66.45
15,30-Jun-17,63.31,74.56,65.74,66.32
16,1-Jul-17,63.09,74.3,65.46,66.14
17,2-Jul-17,63.06,74.28,65.44,66.12
18,3-Jul-17,63.13,74.35,65.51,66.18
19,4-Jul-17,63.08,74.3,65.46,66.14
20,5-Jul-17,63.08,74.3,65.46,66.14
21,6-Jul-17,63.19,74.41,65.58,66.23
22,7-Jul-17,63.33,74.54,65.72,66.33
23,8-Jul-17,63.46,74.67,65.86,66.44
24,9-Jul-17,63.65,74.86,66.05,66.58
25,10-Jul-17,63.83,75.04,66.25,66.73
26,11-Jul-17,63.93,73.27,66.38,67.4
27,12-Jul-17,63.93,73.27,66.38,67.4
28,13-Jul-17,63.91,73.25,66.36,67.38
29,14-Jul-17,63.89,73.23,66.34,67.37
30,15-Jul-17,64.03,73.37,66.49,67.48
31,16-Jul-17,64.11,73.45,66.57,67.55
32,17-Jul-17,64.15,73.49,66.61,67.58
33,18-Jul-17,64.21,73.54,66.67,67.62
34,19-Jul-17,64.21,73.54,66.67,67.62
35,20-Jul-17,64.25,73.59,66.72,67.66
36,21-Jul-17,64.28,73.61,66.75,67.68
37,22-Jul-17,64.3,73.63,66.77,67.69
38,23-Jul-17,64.4,73.74,66.88,67.77
39,24-Jul-17,64.53,73.87,67.01,67.88
40,25-Jul-17,64.57,73.9,67.05,67.91
41,26-Jul-17,64.57,73.91,67.06,67.91
42,27-Jul-17,64.59,73.92,67.07,67.92
43,28-Jul-17,64.69,74.02,67.18,68
44,29-Jul-17,64.87,74.2,67.37,68.14
45,30-Jul-17,65,74.33,67.51,68.24
46,31-Jul-17,65.26,74.58,67.78,68.45
47,1-Aug-17,65.4,74.56,67.71,68.56
48,2-Aug-17,65.47,74.63,67.78,68.61
49,3-Aug-17,65.69,74.85,68.02,68.78
50,4-Aug-17,66,75.15,68.34,69.03
51,5-Aug-17,66.28,75.43,68.64,69.24
52,6-Aug-17,66.51,75.66,68.88,69.43
53,7-Aug-17,66.66,75.8,69.03,69.54
54,8-Aug-17,66.75,75.89,69.13,69.61
55,9-Aug-17,66.81,75.96,69.2,69.66
56,10-Aug-17,66.96,76.1,69.35,69.78
57,11-Aug-17,67.27,76.41,69.68,70.07
58,12-Aug-17,67.5,76.64,69.92,70.29
59,13-Aug-17,67.76,76.89,70.19,70.55
60,14-Aug-17,67.95,77.09,70.4,70.74
61,15-Aug-17,68.08,77.21,70.53,70.86
62,16-Aug-17,68.14,77.27,70.59,70.92
63,17-Aug-17,68.24,77.37,70.7,71.02
64,18-Aug-17,68.29,77.42,70.76,71.07
65,19-Aug-17,68.37,77.5,70.83,71.14
66,20-Aug-17,68.38,77.51,70.85,71.16
67,21-Aug-17,68.54,77.66,71.01,71.31
68,22-Aug-17,68.67,77.79,71.15,71.44
69,23-Aug-17,68.73,77.86,71.22,71.5
70,24-Aug-17,68.88,78,71.37,71.64
71,25-Aug-17,69.01,78.13,71.51,71.77
72,26-Aug-17,69.02,78.14,71.52,71.78
73,27-Aug-17,69.06,78.18,71.56,71.82
